src,ref
Aber Todesfälle lassen sich schwer wegargumentieren. ,But deaths are hard to explain away. 
"Selbstverständlich fallen die Benzinpreise auch in Europa, was dazu beitragen wird, die Diskussion um die von der deutschen Kanzlerin Angela Merkel in die Wege geleitete Mehrwertsteuererhöhung zu entschärfen. ","Of course, falling gas prices are occurring in Europe as well, and this will help take the sting out of the controversial VAT increase engineered by German Chancellor Angela Merkel. "
Ein solcher Bereich hat mit der Erinnerung und dem Umgang mit der Vergangenheit zu tun. ,"One such issue has to do with memory, and dealing with the past. "
"Wir einheimische Holländer tun uns auch schwer damit, uns selbst den Spiegel vorzuhalten. ",We native Dutch also find it hard to hold a mirror to ourselves. 
Andernfalls wird nicht nur die Region selbst in der Gewalt versinken. ,"Otherwise, violence will engulf the region and far beyond. "
Dennoch steht für sie einiges auf dem Spiel. ,But they have much skin in this game. 
Die Symbole aus der Kriegszeit waren ganz und gar nicht fehlplatziert. ,The wartime symbols were not misplaced at all. 
Ebenso wenig sollte man die Sache damit auf sich beruhen lassen. ,Nor should it be the end of the story. 
"Im üblichen Nahost-Stil drohen enttäuschte Sunnitenführer, die mit der Verfassung unzufrieden sind, nun mit Gewalt. ","In the usual style of the Middle East, disappointed Sunni leaders, unhappy with the constitution, now threaten violence. "
Wie bei China sind diese Bedenken übertrieben. ,"As with China, these concerns are overblown. "
Die Misere inmitten des Überflusses im aufstrebenden Afrika ,Trouble Amid Plenty in Emerging Africa 
Diese Aufgabe werden die Schwellenländer mit großen Reserven teilen müssen. ,This task will have to be shared by emerging countries with large reserves. 
Mundtod gemacht im Namen der Freiheit ,Muzzled in the Name of Freedom 
Aber ebenso wenig ist er immun gegen Fehlentscheidungen. ,But he is not immune to miscalculation. 
Um Marx zu paraphrasieren: Ein Gespenst geht um in Europa – das Gespenst des Chaos. ,For the hollowing out of Socialism has a consequence. 
"Du, der mich auffordert, unseren Dschihad aufzugeben ","You who ask me to give up our jihad, "
Die klare Antwort darauf: Bush ist schuld. ,The resounding answer is that Bush is to blame. 
Deng erklärte einmal: „Reich zu werden ist ruhmreich.” ,"Private entities flourish, and a very active stock market allows widespread share ownership. "
"Es erlaubt selbstbewussten Politikern, ihre Zukunft selbst in die Hand zu nehmen. Es ermöglicht es ihnen, die „Geschichte“, die dem Marktvertrauen zugrunde liegt, zu formen, anstatt ihr hinterherzuhetzen. ",This opens up some room for governments to maneuver. 
Die makroökonomischen Aussichten sind günstiger als die der meisten anderen Teile der Welt. ,"Remittances from the Gulf States will suffer and its outsourcing business will languish, but hopefully infrastructure investments, of which India has a great backlog, will continue apace. "
"Eine Art etwas zu betrachten, ist eine Art etwas nicht zu betrachten, lautet ein chinesisches Sprichwort. ","A way of looking is a way of not looking, runs a Chinese proverb. "
Die Rezessionsversicherung ist eine solche Idee. ,Recession insurance is one such idea. 
Auch in den Vereinigten Staaten gibt es Risiken. ,The United States faces risks as well. 
Das falsche Versprechen eines Eurozonen-Haushalts ,The False Promise of a Eurozone Budget 
"Schließlich ist Armut keine unabänderliche Eigenschaft einer festen Gruppe, sie ist vielmehr ein Umstand, von dem Milliarden gefährdeter Menschen bedroht sind. ","After all, poverty is not an unchanging attribute of a fixed group; it is a condition that threatens billions of vulnerable people. "
"Kurz gesagt, das Streben nach dem Gemeinwohl ist in einer traurigen Verfassung. ","In short, the pursuit of the collective good looks sadly quaint. "
Das Iran-Abkommen nach Hause bringen ,Bringing the Iran Deal Back Home 
Warum Obama in der Iranfrage von Europa unterstützt wird ,Why Europe Backs Obama on Iran 
Indien fällt ganz klar in eine andere Kategorie. ,India is clearly in a different category. 
Hieraus ergeben sich Lehren für die Regulierer. ,There are lessons here for regulators. 
Außerdem gibt es Verlierer und Gewinner der Globalisierung. ,"Moreover, globalization has created losers as well as winners. "
"Außerdem werden viele asiatische Gerichte ohnehin mit Safran, Annatto und Kurkuma gelb gefärbt. ","Moreover, many Asian dishes are already colored yellow with saffron, annatto, achiote, and turmeric. "
"Bei den französischen Präsidentschaftswahlen waren beide Kandidaten bemüht, Privatleben und Wahlkampf getrennt zu halten. ","In the French presidential election, both candidates tried to keep their domestic life separate from their campaign. "
In diesem Fall wird wohl Lagarde das Rennen machen. ,"In that case, it will go to Lagarde. "
Die großteils in Rubel denominierte öffentliche und private Brutto-Auslandsverschuldung liegt unter 40 Prozent des BIP. ,"The sharp fall in export income is rapidly changing the situation, but Russia is starting from a comfortable position. "
"Das Pfund fiel gegenüber dem Dollar, dann der Dollar gegenüber dem Pfund. ","The pound fell against the dollar, then the dollar against the pound. "
Doch eine derartige pauschale Regelung wäre ein Fehler. ,But a blanket policy would be a mistake. 
Europa unterscheidet sich in dieser Hinsicht qualitativ nicht von den USA. ,"Europe, in this respect, is not qualitatively different from the US. "
Dies ist leider nicht der Fall. ,"Unfortunately, that is not the case. "
Zu den weiteren negativen Auswirkungen des Klimawandels gehören mögliche Einbußen bei den Anbauerträgen. ,Other negative effects of climate change include possible reductions in crop yields. 
Aller Wahrscheinlichkeit nach wird es auch diesmal so sein. ,Chances are they will do so again. 
"SeZor Cavallo, der in das Finanzministerium zurückgekehrt ist, um sein Baby zu retten, hat recht, wenn er sagt, dass die Haushaltsprobleme nicht so fürchterlich sind, wie viele glauben. ","Signor Cavallo, who returned to the Treasury Department in order to save his baby, is right when he asserts that the budgetary problems are simply not as awful as many people believe. "
"Bei ihnen handelt es sich um bekannte Größen aus Literatur, Film und Medien der arabischen Welt. ","In the Arab world many of these people are literary celebrities, film idols, and media stars. "
"So hat die UNO noch nicht einmal Lakhdar Brahimi ersetzt, der vor Kurzem von seinem Posten als Sondergesandter für Syrien zurücktrat. ","Indeed, the UN still has not replaced Lakhdar Brahimi, who recently resigned as its peace envoy to Syria. "
Aufzufallen ist natürlich das Ziel. ,Standing out is of course the point. 
"Während der Welthandel in den Boom-Jahren zum Aufschwung beitrug, verbreitete er nun den Niedergang. ","Whereas in the boom years, world trade had spread the bounty, it was now spreading the malaise. "
"Die europäischen Staats- und Regierungschefs geben sich heute einem Triumphalismus hin, der die aktuelle wirtschaftliche Atempause als Bestätigung gescheiterter transnationaler Governance-Strukturen betrachtet. ","Today, European leaders are indulging in triumphalism, viewing the current economic reprieve as a validation of failed transnational governance structures. "
"Allgemeiner betrachtet, liefen die Gelehrten lediglich der Herde nach. ","But more generally, the pundits simply ran with the crowd. "
Oder ein merkwürdiges Fossil. ,It could be a strange fossil. 
"Westeuropa hat drei Jahrzehnte einer indirekten Zuwanderung in den Sozialstaat hinter sich. Da die Lohnersatzleistungen des Sozialstaates die Löhne der gering Qualifizierten künstlich erhöht haben, waren ein Übermaß an Zuwanderung und Arbeitslosigkeit die Folge: Anstatt sich mit den Zuwanderern auf eine Niedriglohnkonkurrenz einzulassen, haben sich die Einheimischen lieber in den Sessel drängen lassen, den der Sozialstaat für sie bereit hielt. ","Western Europe has already experienced three decades of indirect migration into the welfare state, as social benefits have created artificially high wages for the unskilled, simultaneously fueling excessive immigration and unemployment. "
Ein Teil der Problems liegt in der Verfahrensweise. ,Part of the challenge is procedural. 
Darauf scheint es nicht nur eine Antwort zu geben. ,There appears to be no single answer. 
In den USA ist das Gegenteil der Fall. ,"In the US, the reverse is true. "
Erstere sind daher anfällig für Überdosierungen und letztere für zu geringe Dosierungen des gleichen Medikaments. ,"Thus, the former might be prone to overdose, and the latter to insufficient levels of the same drug. "
Dennoch handelt es sich bei beiden letzten Endes um Identitätskrisen. ,Yet both are ultimately identity crises. 
"Anders als in Deutschland gab es in Japan keinen Hitler oder keine Nazi-Partei, denen sich die Schuld an seinen Gräueltaten während des Krieges zuweisen ließ. ","Unlike in Germany, Japan had no Hitler or Nazi party on which to blame their wartime atrocities. "
"Oder um die Frage allgemeiner zu stellen: Steht eindeutig fest, dass sich Berater immer von diktatorischen Regimes fernhalten sollten? ","Or to pose the question more broadly, is it so clear that advisers should always steer clear of dictatorial regimes? "
Anders gesagt: Mit einem größer werdenden Kuchen ist allen besser gedient. ,"In other words, a growing pie for all better accommodates all. "
Auf Könige und Königinnen trifft dies im Allgemeinen nicht zu. ,"Kings and queens, on the whole, have not. "
Tatsächlich sehnt sich die Bevölkerung danach. ,"In fact, the public yearns for it. "
"Politisch befindet sich das Vereinigte Königreich bereits auf dem Weg, kein vertrauensvoller Partner, sondern ein Gegner der EU zu werden. ","Politically, the UK is already on its way to becoming an adversary, rather than a trusted partner, of the EU. "
"Worin der Grund auch liegen mag, die Folgen sind bedauerlich. ","Whatever the cause, the consequences remain deplorable. "
Der Große Krieg und Weltordnungspolitik ,The Great War and Global Governance 
"Russland hat nun aktiv zu werden, um sich in einer zukünftigen Weltordnung einen würdigeren und vorteilhafteren Platz zu sichern. ",Russia must act now to secure a more dignified and beneficial place in a future world order. 
Aber sie greifen zu kurz. ,But there is more to the story. 
Unterm Strich ist das Ergebnis sich ausbreitende Hoffnungslosigkeit. ,The result of all this is spreading hopelessness. 
Frieden wahren am Golf – und das Gesicht ,Saving Face and Peace in the Gulf 
"Das einzige, was die Eingeborenen verständen, sei die Drohung mit dem Stock. ",The threat of a large stick is the only language that the natives understand. 
Russland muss nun Amerikas führender Rolle bei der Wahl der Mittel im Kampf gegen den Terrorismus folgen. ,Russia must now follow America's lead in how to fight terror. 
"Es kann gut sein, dass es unmöglich ist den Vertrag ohne Änderungen des Textes voranzutreiben. ",It may well be impossible to press ahead with the Treaty without any changes to the text. 
"Anders gesagt sind Realzinsen ein zu stumpfes Werkzeug zur Ankurbelung der Konjunktur, selbst wenn sie funktionieren. ","Put differently, real interest rates are too blunt a stimulus tool, even if they work. "
"Ich vermute, Letzteres ist der Fall. ",I suspect that it is the latter. 
Indien dürfte nicht darunter sein. ,"India, presumably, will not be one of them. "
Russland stellte die Importe sogar sofort ein. ,Russia actually did block imports of Monsanto corn. 
"Genauso wenig bedeutet die Ankunft des IWF, dass damit die Inhaber von Schuldverschreibungen aus dem Schneider sind. ","Simply put, no one wants to be the next major IMF supplicant. "
"Anders ausgedrückt, wenn genügend Blutsverwandte Nutzen aus dem Altruismus ziehen, um die Kosten für den Altruismus aufzuwiegen, dann breitet sich Altruismus aus, ansonsten nicht. ","In other words, if enough relatives receive benefits from altruism to outweigh the cost of altruism, then altruism spreads; otherwise, it does not. "
Russland ist mit historischem Revisionismus beschäftigt. ,"Africa is facing a bevy of development challenges, alongside a demographic explosion. "
Aber sie werden von Ökonomen auf der ganzen Welt (einschließlich Deutschland) für Unsinn gehalten. ,Both the attacks on excessively easy central banks and the effort to limit government debt are enormously popular in Germany. 
Wieder lautet die Antwort: niedrige Zinssätze. ,"Again, the answer is low interest rates. "
"Was den Terrorismus angeht, so stellt sich für Europa aufgrund der schieren Zahl hausgemachter Dschihadisten nicht die Frage, ob sich ein neuer Anschlag ereignen wird, sondern wann und wo. ","As for terrorism, the sheer number of homegrown jihadists means that the question for Europe is not whether another attack will occur, but when and where. "
"Dies wirkt der Versuchung, die Gläubiger zu enteignen, entgegen und macht Schulden sicher und preiswert. ","That is the mechanism that reduces the incentives to expropriate the creditor, and makes debt secure and cheap. "
Der einzige Weg nach vorne im Falle Nordkoreas ,The Only Way Forward on North Korea 
"Und was tun Sie, mein Herr?“Angeblich war dies die Antwort von Keynes auf die Kritik, dass er seine Meinung über die politische Antwort auf die Große Depression geändert hatte. ","This, reportedly, is how Keynes replied to the criticism that he had changed his position on the policy response to the Great Depression. "
"Darüber hinaus bedeutet horizontale Subsidiarität, dass eine „übergeordnete Macht"" dort Unterstützung zu gewähren hat, wo die individuelle Freiheit und Verantwortlichkeit nicht ausreicht, um das Ziel der Wahrung der menschlichen Würde zu erreichen. ","It also means that support must be given by a ""superior power"" whenever individual freedom and responsibility do not suffice to achieve the ends necessary for human dignity. "
"Indem solche Ausgaben die Beschäftigung und die Löhne anschieben, könnten sie sogar zu steigenden Steuereinnahmen führen. ","Such spending could even help get tax revenues growing, by pushing employment and wages higher. "
"Das Versäumnis, Splittergruppen im Libanon zu entwaffnen und auszusöhnen, wo die Hisbollah trotz ihrer Umwandlung in eine politische Partei ihre Waffen behielt, bedeutete, dass die Kampfbereitschaft ständig unter der Oberfläche brodelte. ","The failure to demobilize and reconcile factions in Lebanon, where Hezbollah remained armed despite its transformation into a political party, meant that belligerency was always bubbling below the surface. "
Hier geht es aber um mehr als nur um bloße Nostalgie. ,Something more is at work here than mere nostalgia. 
"Es stehen keine lebenswichtigen US-Interessen auf dem Spiel, und Serbien wird seinen Fehler bald erkennen. ","No vital US interests are at stake, and Serbia will soon recognize its mistake. "
Asien: von der Gemeinschaft zur Sicherheit ,From Community to Security in Asia 
Or ward the tulwar’s downward blow ,"Will turn the bullet from your coat, "
"Zweitens gibt es kosmopolitische Ethiker, die die Künstlichkeit nationaler Grenzen anprangern. ","Second, there are cosmopolitan ethicists who decry the artificiality of national borders. "
"Solche Ziele zur Verringerung neuer TB-Infektionen würden es den Gesundheitspolitikern beispielsweise ermöglichen, den Erfolg ihrer Strategien genauer zu messen. ","For example, setting goals for reductions in new TB infections would enable health officials to measure more accurately the impact of their strategies. "
"Es stimmt, ein steiler und dauerhafter Ertragseinbruch würde das in Aktien investierte Vermögen reduzieren. ","True, a steep and persistent collapse in earnings will erode wealth invested in stocks. "
Den Klägern zufolge lassen diese Zahlen auf Rassentrennung schließen. ,The plaintiffs suggest that this amounts to racial segregation. 
Allein durch Druck oder Zwang kann man eine Demokratie nicht innerhalb eines angemessenen Zeitraums einführen . ,Democracy cannot be imposed in any reasonable time by force alone. 
"Das Letzte, was China braucht, sind weitere fiskalische Impulse. ",The last thing China needs is more fiscal stimulus. 
"Während für Schmidt das wichtigste strategische Instrument in der Zusicherung von Berechenbarkeit bestand, war es für Kohl die Vertrauensbildung. ","While for Schmidt the key strategic tool was the assurance of calculability, for Kohl it was the creation of trust. "
"Dies hat den Beigeschmack der Usurpation und stachelt viele Franzosen an, ihrem Ärger bei der Abstimmung freien Lauf zu lassen. ",It smacks of usurpation and is inciting many of the French to vote their anger. 
Freier Handel ist nicht nur für die großen Unternehmen oder für mehr Arbeitsplätze gut. ,"Free trade is good not only for big corporations, or for job growth. "
"Dafür gab es drei Gründe, die zum Ende des Zweiten Weltkrieges alle hinfällig waren. ","There were three reasons, all of which vanished by the end of WWII. "
Immer und immer wieder hat sie lediglich die Kapitulation gefordert. ,"Time and again, they simply demanded capitulation. "
"Jedes Jahr erzeugen die Menschen etwa zwei Milliarden Tonnen an Hausmüll, und noch viel mehr Industrie-, Sonder-, Elektro-, Medizin- und Bauabfälle, die zu einem großen Teil unzureichend entsorgt werden. ","Every year, humans generate about two billion tons of household waste, and much more industrial, hazardous, electronic, medical, and construction waste, much of which is disposed of inadequately. "
"Was danach kommt, stimmt nachdenklich. ",It is what comes after that gives pause. 
"Außerdem ist es auch die Frage, wann abgestimmt wird. ",There is also the question of when one votes? 
"Russland mag zu schwach sein, um eine echte Führungsrolle auf globaler Ebene übernehmen zu können, aber es ist weiterhin einflussreich genug, um ernsten Schaden anzurichten. ","Russia may be too weak to offer real global leadership, but it remains influential enough to do serious damage. "
"Es entmachtet die Menschen in ihrem eigenen Namen, flößt ihnen jedoch eher Angst als Vertrauen ein. ","It takes power away from people in their own names, but gives them fear rather than confidence. "
Vielen Nachbarn Japans gaben die Vereinbarungen aus der Zeit des Kalten Krieges ein Gefühl Sicherheit. Amerika versprach Japan zu verteidigen und nahm dem Land damit die Notwendigkeit der Bildung einer mächtigen Armee ab. ,"Many of Japan's neighbors were understandably reassured by the Cold War arrangement whereby America promised to defend Japan, relieving the country of the need for a powerful military. "
"Damals trug das Schreckgespenst der Apokalypse dazu bei, dass die Aufnahme von Krediten günstig blieb. ","Back then, the specter of the Apocalypse helped keep borrowing cheap. "
In Ehrlichs Geburtsjahr 1854 wurde im US-Bundesstaat Illinois erstmals die Kohlschabe beobachtet. ,"It now infests the Americas, Europe, Asia, and Australia. "
"Außerdem haben sie Bemühungen, das Repräsentationsgleichgewicht auch nur geringfügig neu auszurichten, abgewürgt. ","Moreover, they have stifled efforts to recalibrate the balance of representation even marginally. "
"Die Wirtschaft ist der Bereich der Dinge, die einen Wert haben. ",The economy is the realm of things that have value. 
"Damit schuf man eine ungesunde Abhängigkeit, aus der man so leicht nicht mehr herauskommt. ",This has created an unhealthy dependency from which there is no easy exit. 
Ein Jahr der Abrechnung für Frankreich und Europa ,A Year of Reckoning for France and Europe 
Ein Beispiel dafür ist Prostatakrebs. ,Prostate cancer is a case in point. 
"Die Maßnahmen Amerikas hinsichtlich des Stahls deuten scheinbar darauf hin, dass die USA sich zweierlei Maß zu eigen gemacht hat. ",America's actions over steel seem to suggest that the US embraces a double standard. 
"Auf diese Weise erkaufen sie für die Interessen ihrer Unternehmen im gleichen Umfang Gehör und Einfluss, wie sie das früher durch ihre eigenen Spenden und die ihrer Unternehmen erreicht haben. ",Thus they are buying the same level of access and influence for their corporate interests that they previously obtained with their own and corporate funds. 
"Der IWF ließ eine Abwertung nicht zu und stellte Milliarden Dollar zur Verfügung, um den Wechselkurs zu stützen. ","The IMF did not want Russia to devalue, and it provided billions of dollars to prop up the exchange rate. "
"Einen historischen Beleg dafür, dass Globalisierung nicht notwendigerweise Homogenisierung bedeutet, bietet Japan, ein Land, das sich den frühen Globalisierungswellen bewusst verschlossen hatte. ","Historical proof that globalization does not necessarily mean homogenization can be seen in Japan, a country that deliberately isolated itself from earlier waves of globalization. "
Vor einem Jahr war der Dollar allmächtig. ,"A year ago, the dollar bestrode the world like a colossus. "
"Die Antwort ist einfach: Es ist eine Frage der Nachfrage, nicht des Angebots. ","The answer is simple, and it is a matter of demand, not supply. "
"Wie mir ein erfahrender asiatischer Staatsmann kürzlich sagte, hätte Deng diesen Fehler nicht begangen. ","As a senior Asian statesman told me recently, Deng would never have made this mistake. "
"Es wäre jedoch ein Fehler, die Rolle von Banknoten und Münzen in der Wirtschaft zu unterschätzen. ",But to write off the role of banknotes and coins in the economy would be a mistake. 
Ein August der Kanonen und Medaillen ,The Guns and Gold of August 
Gleichzeitig unterstützte Bush Ausgabenerhöhungen in populären Bereichen wie Bildung und rezeptpflichtige Medikamente. Diese Leistungen wurden jedoch durch Kredite finanziert und nicht durch die Sicherstellung ausreichender Steuereinnahmen. ,"At the same time, Bush supported expenditure increases for popular items like education and prescription drug benefits, but paid for these services by borrowing the money rather than ensuring sufficient tax revenues. "
"Die Frage ist nun, ob die Ära des Primats der USA sich ihrem Ende zuneigt. ",The question now is whether the era of US primacy is coming to an end. 
"Die Botschaften, die von dem Londoner Treffen ausgegangen sind, ins öffentliche und politische Bewusstsein zu bringen, ähnelt dem langsamen Bohren dicker Bretter. ",Getting the kind of messages that emerged from the London meeting embedded in public and political consciousness is going to be slow boring through hard boards. 
Aber ebenso wie die nicht inhaftierten Dissidenten Kubas wollen Journalisten wie Rivero und seine politischen Mitgefangenen Castro nicht so billig davonkommen lassen. ,"But writers like Rivero and his fellow political prisoners, as well as those dissidents who are not in jail, refuse to let Castro off so easily. "
"Das Vorhandensein einer Demokratie im Sinne freier Wahlen mit bestimmten Regeln gestattet es den Übrigen von uns nicht, zu sagen, die Sache der Freiheit habe gesiegt und wir könnten gehen. ",Democracy in the sense of free elections within certain rules does not allow the rest of us to say that the cause of freedom has prevailed and that we can walk away. 
"Das Hauptproblem ist jedoch, dass diese Hilfsprogramme immer noch nicht mehr als ein Tropfen auf den heißen Stein sind. ",The main problem is that the scale of worthy efforts has been a shadow of what is needed. 
Diesen Betrag geben die USA im Irak inzwischen alle drei Monate aus. ,The US now spends that amount in Iraq every three months. 
Augen zu und durch bei der Klimaerwärmung ,Eyes Wide Shut on Global Warming 
Die Strategie entbehrt jedoch nicht der Risiken. ,This strategy is not without risk. 
"Dieser Applaus gebührte wahrhaftig Beethoven, Kant und Merkel. ","The curtain call truly belonged to Beethoven, Kant, and Merkel. "
"Aber es ist viel wahrscheinlicher, dass sie sich nicht einigen können. ",But it is far more likely that they will remain divided. 
"Und ist es nicht angesichts der schwindenden Regierungstransparenz in den USA und immer mehr geheimer Gesetze ein ernsthaftes Problem, dass eine Präsidentschaftskandidatin ihre eigenen Fehler und Mängel nicht angeht? ","And, given diminishing government transparency in the US and more and more secret law, is it not a serious issue that a presidential candidate will not address his or her mistakes and shortcomings? "
Die Dokumente ergeben eine verstörende Lektüre. ,The documents make for frightening reading. 
"Trotzdem ist es wohl ein Fehler, diese Episode als bedeutungslos anzusehen. ",Yet it may be a mistake to conclude that this was an episode without significance. 
Dammbruch in der Eurozone ,A Breach in the Eurozone Dike 
"Außerdem haben sie wenige Anreize, ein ordnungsgemäß funktionierendes System zur Steuereinhebung zu etablieren. ",They will also face few incentives to put in place a properly functioning system to collect taxes. 
Außerdem muss Demokratie auf Rechtsstaatlichkeit gründen. ,"Moreover, democracy must be rooted in the rule of law. "
"Auch unterscheiden sich Gesellschaften darin, wie wohlhabend sie ihre Eliten werden lassen, sowie in ihrer Duldung der Mittel, mit denen das Vermögen erworben und genutzt wird. ","Societies have also differed in how wealthy they allow their elites to become, and in their tolerance of the means by which wealth is acquired and used. "
Die Grenzen der weichen Macht Chinas ,The Limits of Chinese Soft Power 
Dies trifft auf Romney ebenso zu wie in der Vergangenheit auf Obama. ,That is as true for Romney as it has been for Obama. 
Dies ist der Fall der „ausgebliebenen Zahlungsausfälle“. ,This is the case of the missing defaults. 
"Will man sich sämtlicher Folgen des Klimawandels zu unseren Lebzeiten annehmen, müssen wir erkennen, dass menschliche Aktivitäten für mehr als nur für einen Temperaturanstieg um ein paar Grad in den jährlichen Prognosen verantwortlich sind. ","If the full consequences of climate change are to be addressed in our lifetime, we must recognize that human activity is doing more than just adding a few degrees of temperature to the annual forecast. "
"Im Gegenteil, dadurch wird sie noch eher angeheizt.& ","On the contrary, it is more likely to fuel it. "
"Falls die USA in die Rezession abgleiten, wird die Verbitterung erheblich zunehmen. ","If the US goes into recession, the acrimony will get a lot worse. "
"Tatsächlich gibt es kein anderes Land, das so viel Armut in so kurzer Zeit beenden konnte. ","Indeed, no other country has achieved such a level of poverty reduction in such a short period. "
Doch irgendwann lassen sie sich nicht mehr vermeiden. ,"But at some point, avoiding them becomes untenable. "
"Es wären heute allerdings auch alle in besserer Verfassung, wenn Bush in der Lage gewesen wäre zu den wichtigen Fragen, die seine Gesprächspartner mit ihm erörtert haben, tatsächlich etwas beizutragen. ",But everyone would also be in better shape today if Bush had been able to actually deliver on the main issues his interlocutors took up with him. 
"Die Organisation selbst scheint zu zersplittert, um wirklich etwas zu bewegen. ",The UN itself appears too divided to make the vital difference. 
"Die Ergebnisse sind enttäuschend für die Notenbanker, die – man muss es ihnen zugutehalten – ihre Kommunikation in den letzten Jahren verbessert haben. ","The results are a disappointment to central bankers, who, to their credit, have been enhancing their communications in recent years. "
Außerdem werden inländische Kapitalmärkte für die Finanzierung von Infrastruktur- und Haushaltsdefiziten gebraucht. ,"Moreover, domestic capital markets are needed for financing infrastructure and government deficits. "
"Wie konnte sich die Lage in einem Finanzsystem, das einst als das ausgefeilteste und komplexeste der Welt verkauft wurde, derart zuspitzen? ",How could things have come to such a pass in a financial system once touted as being the deepest and most sophisticated in the world? 
Der Inbegriff des Bösen entpuppt sich als ungemein banal. ,How banal this epitome of evil turned out to be. 
"1999 begann in den fünf ASEAN-Ländern eine zehnjährige Phase von durchschnittlich 5 Prozent jährlichen BIP-Wachstums (in Süd-Korea sogar 5,5 Prozent in demselben Zeitraum). ",Nor was this a temporary rebound. 
Die Reichen sollen Wort halten ,The Rich Should Keep Their Word 
Dies sind die Reflexe einer geborenen Staatsmännin. ,These are the reflexes of an impeccable stateswoman. 
"Da Bushs Vorschlag Mexikos eigene Interessen noch nicht berücksichtigt, sollte Fuchs sie ihm vorbuchstabieren. ","Since Bush's proposal doesn't incorporate Mexico's interests, Fox should spell them out. "
"Er macht ihr ohne Umschweife einen Heiratsantrag, den sie annimmt, doch Elsa verweigert sich, ihnen ihren Segen zu geben. ","He quickly proposes, and she accepts, but Elsa refuses to give her blessing. "
"Man hat schon so oft das Ende der Ideologie ausgerufen, dass man zögert, diese Phrase zu wiederholen. ",The end of ideology has been invoked so often that one hesitates to repeat the phrase. 
