src,ref
这就是为什么需要需要量子位了， 因为那只有两个状态。,"It's basically why you need the qubit, because it only has two ideas."
正如我说的，如果有更多的食物要搬，那些巡逻的蚂蚁，负责垃圾的蚂蚁 负责维修的蚂蚁都可以成为觅食蚂蚁。,"Like I just said, if there is more food to collect, the patrollers, the midden workers, the nest maintenance workers will all change to forage."
我们找出模式，我们找寻事物的关联性 无论是巴甫洛夫的狗 对铃声和食物产生联想 于是一听到铃声就流口水 或是斯金纳的老鼠 对它的行为和奖赏 做出联想 于是不停重复一样的行为,"We find patterns, we make those connections, whether it's Pavlov's dog here associating the sound of the bell with the food, and then he salivates to the sound of the bell, or whether it's a Skinnerian rat, in which he's having an association between his behavior and a reward for it, and therefore he repeats the behavior."
而表现执拗的结果就是 持续不停地重复 后悔的前三个阶段,Now the effect of perseveration is to basically take these first three components of regret and put them on an infinite loop.
有些人会用别的方法说这是我们与生俱来的,And some people would say that we're born with it in some other means.
而且你不必是一名 经过优秀训练的，具备专门技能的麻醉医师才能来操作 这一点很重要，因为位于乡下的医院 不可能具备这个训练水平人员,"And you do not need to be a highly trained, specialized anesthesiologist to use this machine, which is good because, in these rural district hospitals, you're not going to get that level of training."
我刚提到的维和部队，这些军队已经得到了联合国的授权， 但是从得到授权来，几乎没有国家迈出这一步， 把他们的部队实际派过去，或者是警察。,"And the peacekeepers I've mentioned, the force has been authorized, but almost no country on Earth has stepped forward since the authorization to actually put its troops or its police in harm's way."
有这样一个认知幻觉：我们认知学家知道 越容易回忆一些具体的事情， 你就越容易去做。,"There's a cognitive illusion. We cognitive psychologists know that the easier it is to recall specific instances of something, the higher the probability that you assign to it."
让我再谈一个 与惰性有关的 储蓄的行为障碍,Let me now talk about another behavioral obstacle to saving having to do with inertia.
它的主人住在肯尼亚的蒙巴萨,He's a dog that belongs to a family in Mombasa in Kenya.
我们刚刚提到的宇宙学观点是联系的观点,This last view of cosmology is called the relational view.
那次改变 那个伟大的历史时刻 是由波斯国王赛鲁士实现的 这一切在希伯来圣经中都有记载 也用巴比伦语刻在赛鲁士圆柱上,"And that change, that great historic moment, was made possible by Cyrus, the king of Persia, reported for us in Hebrew in scripture and in Babylonian in clay."
一个因为肺结核而生命垂危西班牙妇女获得了一个捐赠的气管， 他们把气管上所有的细胞都去除， 然后在那软骨上面散布了她的干细胞。,"So, a Spanish woman who was dying of T.B. had a donor trachea, they took all the cells off the trachea, they spraypainted her stem cells onto that cartilage."
现在，你可以设计错误了 就像这个在纽约的建筑，你从这一边看它 阳台看起来是向上倾斜的 而当你从另一边看的时候 又像是向下倾斜的 这是一个在设计中蕴含视觉错觉的 例子,"Now, you can make design mistakes. Like this building in New York. So that when you see it from this side, it looks like the balconies tilt up, and when you walk around to the other side it looks like the balconies go down. So there are cases where you have mistakes in design that incorporate illusions."
我觉得，你知道，这些船的名字取的很好 当下有真真切切的成千上百平方英里的 墨西哥湾海面漂着石油， 而这些船做的只是在两头拽栅栏时 在名字上撞出 一道凹痕来。,"And I think, you know, that's a great name for boats that think that they're going to do anything to make a dent in this by dragging a boom between them when there are literally hundreds of thousands of square miles in the Gulf right now with oil at the surface."
艾滋病卷土重来，伊波拉病毒也有抬头之势 多处发生， 那些老疾病，比如说霍乱也变得对抗生素有抵抗性。,"AIDS is coming back. Ebola seems to be rearing its head with much too much frequency, and old diseases like cholera are becoming resistant to antibiotics."
在捷克斯洛伐克，东德 爱沙尼亚，拉脱维亚，立陶宛， 马里，马达加斯加， 波兰，菲律宾， 塞尔维亚，斯洛维尼亚的独裁政府，我可以继续， 还有现在的突尼斯和埃及。,"Dictatorships in Czechoslovakia, East Germany, Estonia, Latvia, Lithuania, Mali, Madagascar, Poland, the Philippines, Serbia, Slovenia, I could go on, and now Tunisia and Egypt."
"没什么是原创的,科尔比 弗古森说到。一切创作的源泉都是混搭。从鲍伯迪伦 到 史蒂夫 乔布斯, 我们最伟大的创造来自于假借，偷窃和改头换面","Nothing is original, says Kirby Ferguson, creator of Everything is a Remix. From Bob Dylan to Steve Jobs, he says our most celebrated creators borrow, steal and transform."
为此，我做了一份问卷调查， 以探明人们如何显现多巴胺、血清素、雌激素和睾丸激素的性状。,"And I have concocted a questionnaire to see to what degree you express dopamine, serotonin, estrogen and testosterone."
伟哥，对吧？为什么？因为许多人需要它。,"Viagra, right? Why? Because a lot of guys need it."
其中要表现的概念是一件作品的表面 这个概念被我们用在其中一个项目中，可以揭开那层表面 这个抽象的平面图形可以折叠起来， 变成非常复杂的空间,"It became kind of an idea for the notion of the surface of a work, and it was used in a project where we could unravel that surface, and it was a figurative idea that was going to be folded and made into a very, kind of complex space."
随后就感染了肺炎球菌， 或其他的细菌，如链球菌， 这些细菌大量增殖，然后流感患者就得了细菌性肺炎。,"And along comes pneumococcus or another bacteria, streptococcus and boom, they get a bacterial pneumonia."
贝叶斯法则说的是，基于置信值 动作应该在某种意义上是最优的,"And what Bayes' rule says is, given my beliefs, the action should in some sense be optimal."
但你看，卢森堡的家长、老师甚至决策者们 都喜欢小班教学。,"But, you know, parents and teachers and policymakers in Luxembourg all like small classes."
事实是他为了了解 人们为什么为了蒸馏威士忌要耗费如此之多的泥碳 特地在苏格兰酿酒厂工作,It turned out he was hired by a Scottish distillery to understand why they were burning so damn much peat to distill the whiskey.
当然，如果想了解魅力的含义，你可以做的一件事情就是 查看字典,"Well, one thing you can do if you want to know what glamour means is you can look in the dictionary."
所以我们就想，就像做抢椅子游戏那样， 也许我们能够给一个人 吸一些硫化氢， 也许这些硫化氢能够像抢椅子游戏那样 占据氧气的位置，,"And so we thought, like in a game of musical chairs, might we be able to give a person some hydrogen sulfide, and might it be able to occupy that place like in a game of musical chairs where oxygen might bind?"
现在你可以选择通过自动循环开关大耗电设备 而削减你家的电费帐单 比如空调和暖气。,Now you can choose to reduce your home energy bill by automatically cycling heavy loads like air conditioners and heaters.
这些细胞，称为神经胶质细胞， 它们曾经被认为 是脊髓里不重要的结构构件 仅仅是把其他重要的东西连接在一起， 比如说神经。,"These cells, called glial cells, were once thought to be unimportant structural elements of the spinal cord that did nothing more than hold all the important things together, like the nerves."
美国人为了实现 就不择手段 将保留地瓜分待尽。,The American dream of individual land ownership turned out to be a very clever way to divide the reservation until nothing was left.
我们对曾遭受性虐的女性进行了调查， 其中约一半的人受到应激时不会分泌催产素。,"So we've studied sexually abused women, and about half those don't release oxytocin on stimulus."
但是事实上，我所说的这种无助感 是指大多数美国人认定 汽油的价格是一种密谋， 而非世界石油市场的盛衰。,"But actually, I mean, this feeling of helplessness comes in because most Americans actually feel that oil prices are the result of a conspiracy, not of the vicissitudes of the world oil market."
我们有一点 混淆了 马斯洛的需求层次。,We have confused Maslow's hierarchy of needs just a little bit.
但如果你只能上下上下的话那么你就是将自己闲置起来了。,"But you're boxed in, if you can only do it up and down that way."
不仅仅是二氧化碳 极大地加速了变化的进程。,It's not only carbon dioxide that has this hockey stick pattern of accelerated change.
"接下来,我们再来看一个海洋生物： 费式弧菌寄生在这种乌贼的体内。","Again, another plug for the animals in the ocean, Vibrio fischeri lives in this squid."
我们需要像巴西总统卢拉那样做事情,"We need to start doing things like Lula, President of Brazil."
塞萨尔和我试着想要给纽约时代杂志 写一篇稿子描述这个工作,Cesar and I tried to write a piece for The New York Times Magazine explaining how this works.
我首先要谈的是我着手研究过的 技术这个词的由来,And one of the first things that I started to investigate was the history of the name of technology.
在西方我们现在的问题大体上 是传统的方法 我们用西方的术语，用西方的观点来了解 真正的中国。,"And the problem we have in the West at the moment, by and large, is that the conventional approach is that we understand it really in Western terms, using Western ideas."
这个男人，在中国西部的新疆省喀什市， 正在做他的民族佳肴。,"This man, in Kashgar, Xinjiang province, in Western China, is serving up his national dish."
所以就我所理解的 一款玫瑰只要有不同名字， 就能让它的外观看起来与其他款不同 可能闻起来也有不同。,"So as far as I can tell, a rose by any other name probably does look different and maybe even smells different."
当不住地时我颤抖。第一次尝试 我甚至连一分钟都坚持不了。,And I was shivering. In my first attempt to hold my breath I couldn't even last a minute.
呃，我想我可以告诉你们 一点特雷门琴的历史。,"And ... Well, I guess I could tell you a little of the history of the theremin."
在危地马拉的丛林深处的提卡尔，矗立着一座神庙。,"In the jungles of Guatemala, in Tikal, stands a temple."
这就是由 代议制组成政府的西方模式 基础所在,That's the basis for the Western model of representative government.
因为事实上，贫困是有关选择的状态， 和缺少自由的状态。,"Because really, it's a condition about choice, and the lack of freedom."
不仅如此，它们还可以被用于疾病模型,"Not only that, but they can also be used for disease models."
他们把我弄出水来，又开始 给我用肾上腺素和强的松， 还有氧气和船上所有能用的，,And they got me out and they started again with the epinephrine and the prednisone and with the oxygen and with everything they had on board.
手部截肢通常是因为外伤 比如工伤事故 汽车相撞 还有更揪心的 战争,"Arm amputation is usually caused by trauma, with things like industrial accidents, motor vehicle collisions or, very poignantly, war."
鼻病毒是普通感冒，你们都知道小儿麻痹是什么， 你们可以看到这些标记是不同的。,"Rhino's the common cold, and you all know what polio is, and you can see that these signatures are distinct."
你拿一盘意粉，然后淋上意粉酱。,"You'd have a plate of spaghetti, and you would pour it on, right?"
它们的大脑占躯体的比例 和大猩猩相当。,"Their brains are proportionate, in the same proportion as chimpanzee brains are."
现在在詹姆斯韦伯太空望远镜中只有 一点点的折纸艺术，但它十分之简单。,"Now, there is actually a little origami in the James Webb Space Telescope, but it's very simple."
一遍又一遍 在 在《旧约诗篇》中， 在这本 格莱斯顿 称为全世界最伟大的著作中， 大卫王多次描述了人类的邪恶。,"Over again and again in the Psalms, which Gladstone said was the greatest book in the world, David describes the evils of the human race."
在逆向工程学工程中 根据我们所了解的 根据我们所熟悉的 针对纺织工业 纺织工业从蚕茧中抽丝 然后编织出精美织物,"And so in the reverse engineering process that we know about, and that we're familiar with, for the textile industry, the textile industry goes and unwinds the cocoon and then weaves glamorous things."
然而乍一看之下，似乎很明显地 经验主义存在着可怕的漏洞,"But, from the outset, it was obvious that there was something horribly wrong with it."
还有这样的打圈的轨道 这里飞行器对抗两倍的重力,So these are circular trajectories where the robot pulls about two G's.
替身综合症是一种精神疾病 会让人产生一种特别的幻觉,So Capgras syndrome is a disorder where you get a specific delusion.
最坏的可能性是最简单的细菌，例如葡萄球菌。虽然我们仍有对其 有效的抗菌素，但是其已发生变异。,"The worst possibility is that a very simple germ, like staph, for which we have one antibiotic that still works, mutates."
比如说，如果你害怕去医院讨厌打针的话 我们能做出微型针头,"So for instance, if you're afraid of going to the doctor and getting stuck with a needle, we do microneedle arrays."
仿佛歌手就坐在你的身边 和你说着什么东西,"It's like the guy is sitting next to you, whispering who knows what into your ear."
它代表你大脑中 上亿或上十亿的突触 发生改变。,"It represents changes of hundreds of millions, possibly billions of synaptic connections in your brain."
要分析这些 我们自然少不了费曼图解法,"And the way to analyze it was, of course, Feynman diagrams."
然后你可以更进一步，改善经营运作 将效益再提高一倍 大的运输商利润能翻一番,"Then you can go even further, almost tripling efficiency with some operational improvements, double the big haulers' margins."
穆斯林认为耶稣是苏非派的大师， 最伟大的先知，和强调精神之路的使者。,"Muslims regard Jesus as the master of Sufism, the greatest prophet and messenger who came to emphasize the spiritual path."
然后我开始呛水了， 这导致我在水里呕吐。,"I then began to choke, and then it quickly led to me vomiting in the water."
那些留在非洲的猿类 演变成了大猩猩，黑猩猩，和我们人类。,"And the ones that stayed on in Africa evolved into the gorillas, the chimpanzees and us."
后来我们研制了人们昵称为玻璃腿的义肢 虽然它们实际上是剔透的聚亚安酯制作的 也就是制造保龄球的材料,"So we made what people lovingly referred to as glass legs even though they're actually optically clear polyurethane, a.k.a. bowling ball material."
实际上，我十分羡慕 我世界自然保护联盟的同事们 能够去马达加斯加海岭的南部继续此次旅程， 去拍摄真实的图片， 去观察这些海洋深处的神奇生物。,"Instead, they just make me green with envy that my colleague from IUCN was able to go on this journey to the south of Madagascar seamounts to actually take photographs and to see these wondrous creatures of the deep."
她有嚼着槟榔的习惯，使得她的牙 进过这些年而变得很红。,"She was chewing betel nut, which caused her teeth over the years to turn very red."
之后又设计这个相当健谈， 絮絮不休的椅子,"Then this is a fairly talkative, verbose kind of chair."
这里让我稍稍描绘一下远景，来结束这个演讲 谈谈我认为未来的癌症治疗方案是怎么一回事。,So let me just end with giving you a little picture of what I think cancer treatment will be like in the future.
一种对知识和经验的坚定的无畏的渴望， 无论多么滑稽，无论多么专业， 无论看上去多么有煽动性。,"It is this inextinguishable, undaunted appetite for learning and experience, no matter how risible, no matter how esoteric, no matter how seditious it might seem."
但是一次又一次地，长盛不衰的同情 把我们带回温柔的智慧中。,"But again and again, lived compassion brings us back to the wisdom of tenderness."
当然，就是在这个十年里，我们发现了艾滋病， 以及导致该病的病毒，艾滋病病毒。,"And certainly, this was the decade in which we discovered AIDS and the virus that causes it, HIV."
马尔代夫的总统 最近召开了一次有嘲讽意味的 水下内阁会议， 主要为了强调这些国家所面临的巍巍可及的境地。,The president of the Maldives conducted a mock cabinet meeting underwater recently to highlight the dire straits of these countries.
我不晓得大家是否曾梦想过 亲眼见见哈里特.塔伯曼（著名废奴主义者）？,"I don't know if you've ever had a daydream about, ""Wow. What would it be like to meet Harriet Tubman?"
如果你愿意，可以把它想成 粒子物理界的牛顿定律,"It's the Newton's laws, if you want, of particle physics."
还可以看看 如果抽烟 暴晒、或者增肥的话 将来会是什么样子,"There are programs you can get to see how people might look if they smoke, if they get too much exposure to the sun, if they gain weight and so on."
具体看来，我们做为男人 被灌输女人价值较小， 视她们为男人的财富和性猎物的象征。,"See collectively, we as men are taught to have less value in women, to view them as property and the objects of men."
但我在这里的时候， 我的许多青少年伙伴处在非常不一样的形势下， 他们在年轻人失业飙升的时候毕业离开了学校， 在就业机会上他们等于撞上了南墙。,"But when I was here, a lot of my fellow teenagers were in a very different situation, leaving school at a time then of rapidly growing youth unemployment, and essentially hitting a brick wall in terms of their opportunities."
根据世界卫生组织 就患病时间而言 抑郁症是地球上的头号疾病,The World Health Organization tells us that depression is the number one disease on Earth in terms of years lived with disability.
而暗喻上的真实干扰了我们的辨识能力， 以至于难于区分字面上的真假。,And the metaphorical truth interferes with our ability to identify it as literally false.
从这个故事我们得出结论： 我们可以训练乌鸦，让它们通过售货机吃上花生。,"So, what's significant about this to me isn't that we can train crows to pick up peanuts."
结合的方式 可以是化了再融合，也可以是融合了再化,And the bonding process can happen by either melting and depositing or depositing then melting.
根据犹太教教义，犹太教教士希利 教导我们己所不欲勿施于人,"And within Jewish teachings, the rabbinic teachings, we have Hillel, who taught that you shouldn't do to others what you don't like being done to yourself."
以前妇女要 做大伤元气的手术， 来切除全部的腋淋巴结。,Women used to get really debilitating surgeries to excise all of the axillary lymph nodes.
在斯里兰卡，如果你在东北季候风季节 去斯里兰卡的南部海岸的话， 你很容易就会看到蓝鲸。,"In Sri Lanka, if you go down to the south coast of Sri Lanka, during the northeast monsoon season, you can see blue whales very, very easily."
我知道所有锅炉和焚烧炉的一切， 包括像织物过滤器和旋风分离器一样的东西。 但是我也患有马凡氏综合征,"I know all about boilers and incinerators and fabric filters and cyclones and things like that, but I also have Marfan syndrome."
看看欧罗巴卫星的地表， 是一层很厚的冰面，大概有一百千米深。,"So what you're looking at is the surface of the moon Europa, which is a thick sheet of ice, probably a hundred kilometers thick."
我参与了美国国防部的生物防护工程。,I've been involved with the U.S. Defense Department BioShield program.
而真正使我震惊的是， 我在每一个地方看到的这些望远镜， 天文学家，宇宙学者， 都在寻求这样的一份宁静。 无论是排除电波的干扰 还是光的污染或者一切其他的影响。,"And what struck me was every place that I went to to see these telescopes, the astronomers and cosmologists are in search of a certain kind of silence, whether it's silence from radio pollution or light pollution or whatever."
芥末酱，和意粉酱一样，是在同一个平面上的。,"Mustard exists, just like tomato sauce, on a horizontal plane."
肿瘤治疗电场这项技术的发明人是 以色列理工学院的荣誉教授尤兰姆･帕耳提医生 以色列理工学院的荣誉教授尤兰姆･帕耳提医生,"Tumor Treating Fields were invented by Dr. Yoram Palti, professor emeritus at the Technion in Israel."
一项近期的盖洛普调查 询问参与者 有多少压力、焦虑和愤怒情绪 他们在前一天体验过,And a recent Gallup poll asked participants how much stress and worry and anger they had experienced the previous day.
莱布尼茨就是提出建造计算机器的第一人。,And Leibniz was the first person to really talk about building such a machine.
这也是为什么大卫.亚玲达尔 变成来薇薇安的旅馆的常客的原因,This is Dave Arringdale who's actually been a longtime guest at Vivian's motel.
还有一种少有的症状叫颞叶癫痫 有时，如果一个人产生这种症状 他可能会感到自己被带回 到过去的一个时空,"There is also a rare thing called temporal lobe epilepsy, and sometimes, if one has this, one may feel oneself transported back to a time and place in the past."
但是这里也有一些国家，这里 比如说危地马拉。比如说巴布亚新几内亚 比如也门和阿富汗,"But there are also countries here like Guatemala, like Papua New Guinea, like Yemen and Afghanistan."
谁的手机现在能用？ 就是开着机，有信号，拿起来就能打电话的那种,"Does anyone here have a working cellphone that's on, with coverage, who can make a call right now without a lot of fussing?"
但我们真正思考的问题是， 在多数情况下，细菌并不是单独生活的，它们居住的地方是鱼龙混杂的， 它们跟其它成百上千种的细菌同居一处。,"But what we were really thinking about is that most of the time bacteria don't live by themselves, they live in incredible mixtures, with hundreds or thousands of other species of bacteria."
支持小组提供一种关怀，关爱的环境， 促使病人卸下情绪上的防御， 跟能够理解她们的小组成员来谈论患有乳癌的感觉多么糟糕， 因为其他组员也在经历同样的病痛。,"It was a nurturing, loving environment, where they were encouraged to let down their emotional defenses and talk about how awful it is to have breast cancer with people who understood, because they were going through it too."
负责修理的蚂蚁在蚁穴中工作， 我想说的是蚁穴与比尔里斯曼的房子特别相似,"Then the nest maintenance workers work inside the nest, and I wanted to say that the nests look a lot like Bill Lishman's house."
你怎么能避免结肠镜的尖端呢？,How would you like to avoid the pointy end of the stick?
在过去的日子里，探险者们 如瓦斯科.达伽马和哥伦布 都曾经有幸开拓了地球,"In the olden days, explorers like Vasco da Gama and Columbus had the good fortune to open up the terrestrial globe."
这样一来，你就象奥德修斯和大副 二者合一,"So in effect, you are like Odysseus and the first mate in one person."
和重定目标的过程是数据的移调 到另一个模型。,Retargeting is the process of transposing that data onto another model.
我们从中发现的部分结论是 我们之前以为 生产和消耗 的关键点 即生产出大量的产品 事实上并不能让 我们在高密度环境下生活得最好,"Part of what we're finding with this is that what we thought was the major point of manufacturing and consumption, which is to get a bunch of stuff, is not, in fact, how we really live best in dense environments."
通过检测 欧罗巴卫星是怎样 同木星的磁场相互作用的， 和研究你在这种图片上可以看见的 冰面上的裂缝 我们很肯定的推测 欧罗巴的整个地表下， 有着像海洋一样的液体环绕着。,"But by measuring the way that Europa interacts with the magnetic field of Jupiter, and looking at how those cracks in the ice that you can see there on that graphic move around, we've inferred very strongly that there's an ocean of liquid surrounding the entire surface of Europa."
如果你看离我们比较近的仙女座星系 那是两百万年以前的,"If you look at Andromeda, which is the nearest big galaxy, and it's two million years ago."
维也纳爱乐团的观众通常不干扰演奏,You know Viennese audiences usually don't interfere with the music.
且不谈扔飞镖的时候瞄准靶心去扔 只看重复瞄准同一点的时候发生什么情况,"Forget about trying to hit the bull's eye in darts, just aim for the same spot over and over again."
甚至去年，我完成了在非洲最高山峰 乞力马扎罗山的远足。,"Even last year, I ended up hiking up Mt. Kilimanjaro, the highest mountain in Africa."
在吉尔吉斯斯坦，仅几个星期的功夫， 史无前例的暴力冲突发生 于吉尔吉斯族 和乌兹别克族之间。,"In Kyrgyzstan, just over the last few weeks, unprecedented levels of violence occurred between ethnic Kyrgyz and ethnic Uzbeks."
它们颇具重复性且内含丰富的 氨基酸，甘氨酸和丙氨酸,"They're very repetitive, and they're very rich in the amino acids glycine and alanine."
特别是现在我们给出的单词是 两个随机组合的英语单词,And this is especially true because now we're giving people two randomly chosen English words next to each other.
你可以看到哥本哈根的山如何 演进成阿塞拜疆的七座山峰。,So in a way you can see how the Mountain in Copenhagen sort of evolved into the Seven Peaks of Azerbaijan.
所以你们就能想象， 我读纽约客的时候有多吃惊了， 里面提到（前任）联邦储备署主席阿兰.格林斯潘 把安.兰德称为自己的精神导师。,"So you can imagine my surprise on reading in The New Yorker that Alan Greenspan, Chairman of the Federal Reserve, claims Ayn Rand as his intellectual mentor."
我们在当地雨林里建立了一个全球大气监视塔 我们在塔上悬挂了 价值数十万美元的科学设备 这是都是为了探测异戊二烯分子 当然，也可以探测别的存在的东西,"We found a global atmospheric watchtower there, in the middle of the rainforest, and hung hundreds of thousands of dollars worth of scientific equipment off this tower, to look for isoprene, and of course, other things while we were there."
干细胞就好比是砌墙用的砖块 修复身体中受损的支架， 或是变成新的肝细胞 来修复受损的肝脏。,"Stem cells may be used as building blocks to repair damaged scaffolds within our body, or to provide new liver cells to repair damaged liver."
"并且我们知道地热能量 是铀,钍和钾元素进行衰减产生的.","And we know very well that geothermal energy is mostly produced by decay of uranium, thorium, and potassium."
从另一方面来说，像可卡因那样的苯异丙胺 那样的多巴胺激动剂,"On the other hand, amphetamines like cocaine are dopamine agonists."
当我们用传统抗生素来杀菌时， 会同时培养筛选出有耐药性的突变菌株。,We kill bacteria with traditional antibiotics and that selects for resistant mutants.
这是牛津大学从胚胎干细胞里 培育出来的干细胞。,"This is a stem cell that we've developed here in Oxford, from an embryonic stem cell."
为了给大家一些全景的感觉 对于我们目前 手术机器人的水平 以及将来我们会向哪些方向发展， 我想给大家简要介绍一下 我们是如何达到这一步的。 我们是如何相信 手术是可行的， 是可以做到的事情， 这种切开与整形是可行的。,"So in order to give you some kind of a perspective of where we are right now with surgical robots, and where we're going to be going in the future, I want to give you a little bit of perspective of how we got to this point, how we even came to believe that surgery was OK, that this was something that was possible to do, that this kind of cutting and reforming was OK."
你是染匠 那你知道怎么去掉墨迹吗？,"As a ""dyer,"" do you know how to bleach ink marks?"
子宫里的定局 不能金钱来伪造和改变,What is foretold in the womb May not be foresworn with gold.
